order_date,order_date_year,order_date_month,order_date_day,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
2016-09-04T00:00:00.000Z,2016,9,4,9,HTS-038040-0002,038040,White T-Shirt M,20.0,1
2016-01-15T00:00:00.000Z,2016,1,15,9,HTS-061311-0003,061311,Black T-Shirt F,17.5,4
2016-08-15T00:00:00.000Z,2016,8,15,6,HTS-049348-0004,049348,Black T-Shirt F,17.5,1
2016-04-24T00:00:00.000Z,2016,4,24,12,HTS-301362-0001,301362,Black T-Shirt F,17.5,1
2016-01-16T00:00:00.000Z,2016,1,16,15,HTS-1b0lnt-0002,1b0lnt,White T-Shirt M,20.0,1
2016-08-14T00:00:00.000Z,2016,8,14,9,HTS-996602-0005,996602,Hoodie,23.0,3
2016-05-20T00:00:00.000Z,2016,5,20,14,HTS-907041-0002,907041,White T-Shirt F,18.0,3
2016-01-31T00:00:00.000Z,2016,1,31,11,HTS-ws13bp-0002,ws13bp,Hoodie,23.0,5
2016-05-20T00:00:00.000Z,2016,5,20,16,HTS-r0lzge-0001,r0lzge,White T-Shirt M,20.0,1
2016-05-27T00:00:00.000Z,2016,5,27,6,HTS-590680-0003,590680,Hoodie,23.0,1
2016-12-19T00:00:00.000Z,2016,12,19,8,HTS-0lkdil-0002,0lkdil,Black T-Shirt F,17.5,1
2016-08-02T00:00:00.000Z,2016,8,2,12,HTS-187179-0001,187179,White T-Shirt F,18.0,1
2016-01-31T00:00:00.000Z,2016,1,31,10,HTS-2y07r3-0002,2y07r3,Tennis Shirt,24.0,2
2016-02-21T00:00:00.000Z,2016,2,21,17,HTS-750705-0001,750705,White T-Shirt M,20.0,1
2016-02-10T00:00:00.000Z,2016,2,10,11,HTS-0pgrbi-0002,0pgrbi,Hoodie,23.0,3
2016-05-03T00:00:00.000Z,2016,5,3,20,HTS-798156-0003,798156,Black T-Shirt M,19.0,1
2016-12-06T00:00:00.000Z,2016,12,6,16,HTS-kuqsq1-0002,kuqsq1,Black T-Shirt F,17.5,1
2016-11-11T00:00:00.000Z,2016,11,11,13,HTS-bv8gw3-0001,bv8gw3,Black T-Shirt M,19.0,1
2016-08-22T00:00:00.000Z,2016,8,22,15,HTS-3uouz3-0001,3uouz3,White T-Shirt M,20.0,1
2016-11-25T00:00:00.000Z,2016,11,25,6,HTS-vz1jgr-0001,vz1jgr,White T-Shirt F,18.0,2
2016-04-13T00:00:00.000Z,2016,4,13,6,HTS-075826-0003,075826,White T-Shirt M,20.0,1
2016-08-08T00:00:00.000Z,2016,8,8,6,HTS-lby2fl-0001,lby2fl,White T-Shirt M,20.0,1
2016-01-30T00:00:00.000Z,2016,1,30,9,HTS-019747-0001,019747,White T-Shirt F,18.0,1
2016-10-21T00:00:00.000Z,2016,10,21,12,HTS-797630-0004,797630,Black T-Shirt F,17.5,2
2016-12-27T00:00:00.000Z,2016,12,27,11,HTS-moudrf-0003,moudrf,White T-Shirt F,18.0,4
2016-09-20T00:00:00.000Z,2016,9,20,12,HTS-5j3r5q-0001,5j3r5q,White T-Shirt M,20.0,1
2016-10-16T00:00:00.000Z,2016,10,16,21,HTS-qgqhv6-0001,qgqhv6,White T-Shirt F,18.0,1
2016-07-14T00:00:00.000Z,2016,7,14,16,HTS-397705-0001,397705,Black T-Shirt M,19.0,1
2016-08-06T00:00:00.000Z,2016,8,6,10,HTS-w6nkip-0001,w6nkip,Black T-Shirt M,19.0,1
2016-04-05T00:00:00.000Z,2016,4,5,8,HTS-751922-0001,751922,White T-Shirt M,20.0,1
2016-03-25T00:00:00.000Z,2016,3,25,10,HTS-9cuan5-0001,9cuan5,White T-Shirt M,20.0,1
2016-03-08T00:00:00.000Z,2016,3,8,13,HTS-007955-0001,007955,Tennis Shirt,24.0,1
2016-10-26T00:00:00.000Z,2016,10,26,10,HTS-738171-0005,738171,Black T-Shirt M,19.0,3
2016-11-11T00:00:00.000Z,2016,11,11,9,HTS-907613-0002,907613,Tennis Shirt,24.0,1
2016-08-01T00:00:00.000Z,2016,8,1,7,HTS-697637-0003,697637,White T-Shirt F,18.0,1
2016-01-25T00:00:00.000Z,2016,1,25,8,HTS-611054-0001,611054,Hoodie,23.0,1
2016-07-01T00:00:00.000Z,2016,7,1,4,HTS-865156-0003,865156,White T-Shirt M,20.0,2
2016-10-11T00:00:00.000Z,2016,10,11,13,HTS-290417-0002,290417,White T-Shirt M,20.0,2
2016-09-19T00:00:00.000Z,2016,9,19,14,HTS-vqcn42-0002,vqcn42,White T-Shirt M,20.0,2
2016-06-01T00:00:00.000Z,2016,6,1,14,HTS-kbyw6j-0001,kbyw6j,White T-Shirt M,20.0,4
2016-10-22T00:00:00.000Z,2016,10,22,18,HTS-441110-0001,441110,White T-Shirt F,18.0,1
2016-08-31T00:00:00.000Z,2016,8,31,6,HTS-tsgo24-0002,tsgo24,Hoodie,23.0,1
2016-06-19T00:00:00.000Z,2016,6,19,13,HTS-9pw0o5-0001,9pw0o5,Hoodie,23.0,2
2016-02-03T00:00:00.000Z,2016,2,3,12,HTS-110892-0002,110892,Hoodie,23.0,25
